1,Balcony
2,Built in Kitchen Appliances
3,Private Garden
4,Central A/C & heating
5,Security
6,Covered Parking
7,Maids Room
8,Pets Allowed
9,Pool
10,Electricity Meter
11,Water Meter
12,Natural Gas
13,Landline
14,Elevator
